time,id,mag,future_3h_mag_ge_5_5_event,future_3h_event_count,future_3h_max_mag,future_3h_first_event_time,future_3h_first_event_id
2020-04-29T16:13:05.044Z,us70009ag3,4.3,0,0,,,
2020-04-30T03:15:21.414Z,us700097a4,5.2,0,0,,,
2020-05-02T04:32:01.466Z,us70009bsd,4.2,0,0,,,
2020-05-03T00:35:06.211Z,us7000993d,4,0,0,,,
2020-05-03T04:20:12.798Z,us7000996k,4.4,0,0,,,
2020-05-03T05:17:49.656Z,us7000997c,4.5,0,0,,,
2020-05-03T05:27:33.098Z,us70009972,4.3,0,0,,,
2020-05-04T03:03:10.711Z,us700099km,5.3,0,0,,,
2020-05-04T13:07:48.414Z,us700099s8,5.6,0,0,,,
2020-05-04T13:34:32.503Z,us700099sl,4.7,0,0,,,
2020-05-04T14:59:43.364Z,us70009elx,4.2,0,0,,,
2020-05-05T07:50:24.802Z,us70009es0,4.2,0,0,,,
2020-05-05T16:57:08.845Z,us70009aif,5.1,0,0,,,
2020-05-06T01:16:11.342Z,us70009ate,4.7,0,0,,,
2020-05-07T14:17:14.050Z,us70009bpt,4.6,0,0,,,
2020-05-07T16:48:14.353Z,us70009g1q,4.1,0,0,,,
2020-05-08T00:33:29.063Z,us70009c2n,4.9,0,0,,,
2020-05-08T00:39:22.000Z,us70009g3h,4.5,0,0,,,
2020-05-08T00:46:49.266Z,us70009g3p,4.3,0,0,,,
2020-05-08T01:22:50.180Z,us70009g3i,4.6,0,0,,,
2020-05-08T21:35:23.422Z,us70009cub,4.5,0,0,,,
2020-05-09T01:32:10.345Z,us70009gli,4.6,0,0,,,
2020-05-10T03:35:16.755Z,us70009dl7,4.4,0,0,,,
2020-05-10T23:58:33.700Z,us70009dus,5.8,0,0,,,
2020-05-11T00:57:45.606Z,us70009dvg,4.6,0,0,,,
2020-05-12T02:44:33.184Z,us70009ej2,4.5,0,0,,,
2020-05-12T21:36:08.318Z,us70009kvg,4.3,0,0,,,
2020-05-13T00:40:31.916Z,us70009lkx,4.5,0,0,,,
2020-05-13T01:28:33.501Z,us70009f48,4.4,0,0,,,
2020-05-13T04:39:22.688Z,us70009ll2,4.1,0,0,,,
2020-05-13T05:56:28.624Z,us70009f6e,5,0,0,,,
2020-05-13T13:18:37.413Z,us70009fae,4.5,0,0,,,
2020-05-13T13:46:23.055Z,us70009fb4,4.5,0,0,,,
2020-05-13T19:30:29.385Z,us70009fjj,4.6,0,0,,,
2020-05-13T21:27:53.690Z,us70009llz,4.5,0,0,,,
2020-05-13T22:37:11.127Z,us70009lm1,4.3,0,0,,,
2020-05-14T21:40:15.526Z,us70009gbb,4.5,0,0,,,
2020-05-15T16:48:36.185Z,us70009gyu,4.4,0,0,,,
2020-05-15T21:27:13.965Z,us70009n6p,4.3,0,0,,,
2020-05-15T23:26:54.741Z,us70009n74,4.4,0,0,,,
2020-05-17T11:38:26.444Z,us70009iut,4.5,0,0,,,
2020-05-18T02:13:01.733Z,us70009nhk,4.5,0,0,,,
2020-05-18T03:00:38.394Z,us70009jbz,5,0,0,,,
2020-05-18T17:01:21.404Z,us70009jvq,4.4,0,0,,,
2020-05-19T03:17:13.037Z,us70009kc6,5.1,0,0,,,
2020-05-19T04:12:59.967Z,us70009kd9,5.2,0,0,,,
2020-05-19T05:23:32.205Z,us70009kfh,4.6,0,0,,,
2020-05-19T07:55:10.718Z,us70009kjx,4.6,0,0,,,
2020-05-20T11:45:27.503Z,us70009lkd,4.5,0,0,,,
2020-05-20T12:31:50.391Z,us6000a0zf,4.4,0,0,,,
2020-05-21T18:24:12.935Z,us6000a1nz,4,0,0,,,
2020-05-22T15:59:43.275Z,us6000a1t9,4.1,0,0,,,
2020-05-23T07:42:47.857Z,us70009p16,4.8,0,0,,,
2020-05-24T09:36:14.771Z,us70009pe7,5.2,0,0,,,
2020-05-25T19:38:15.285Z,us70009q5j,4.5,0,0,,,
2020-05-26T02:18:29.757Z,us70009qbs,4.6,0,0,,,
2020-05-26T03:32:43.624Z,us70009qcp,4.6,0,0,,,
2020-05-26T05:57:58.530Z,us70009qf0,5,0,0,,,
2020-05-26T09:05:05.146Z,us70009qi7,4.6,0,0,,,
2020-05-27T06:32:02.983Z,us60009zud,4.7,0,0,,,
2020-05-27T13:58:32.204Z,us6000a043,4.3,0,0,,,
2020-05-27T19:40:05.606Z,us6000a5ur,4.3,0,0,,,
2020-05-28T12:29:42.720Z,us6000a600,4.1,0,0,,,
2020-05-28T17:46:06.074Z,us6000a608,4.6,0,0,,,
2020-05-28T23:42:49.983Z,us6000a1ec,4.5,0,0,,,
2020-05-29T10:05:17.538Z,us6000a1m1,5.1,0,0,,,
2020-05-29T14:21:17.043Z,us6000a6ed,4.3,0,0,,,
2020-05-30T18:13:48.078Z,us6000a2rt,5.6,0,0,,,
2020-05-31T21:02:11.329Z,us6000a3az,5.2,0,0,,,
2020-06-01T02:04:52.479Z,us6000a3en,4,0,0,,,
2020-06-01T10:31:06.113Z,us6000a3ka,4.9,0,0,,,
2020-06-01T11:18:22.814Z,us6000a3m3,4.6,0,0,,,
2020-06-01T20:49:25.084Z,us6000a8ea,4.4,0,0,,,
2020-06-02T00:59:59.809Z,us6000a8nu,4.5,0,0,,,
2020-06-02T06:41:17.725Z,us6000a4nv,3.1,0,0,,,
2020-06-02T15:41:15.738Z,us6000a4g1,5,0,0,,,
2020-06-02T16:53:19.621Z,us6000a8p8,4.2,0,0,,,
2020-06-02T17:14:00.516Z,us6000a8p9,4.2,0,0,,,
2020-06-03T17:28:52.671Z,us6000a5b5,4.3,0,0,,,
2020-06-03T20:31:20.007Z,us6000a5fq,4.9,0,0,,,
2020-06-04T19:53:52.429Z,us6000a63t,4.4,0,0,,,
2020-06-04T21:50:43.215Z,us6000a66y,4.2,0,0,,,
2020-06-05T02:08:24.292Z,us6000aa3d,4.3,0,0,,,
2020-06-05T22:44:42.720Z,us6000a6x6,4.2,0,0,,,
2020-06-06T13:48:33.387Z,us6000a7lt,4.3,0,0,,,
